_time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
Mon Aug 17 00:00:00 2020,26,8401,17,2883,3,1939,5,3412
Tue Aug 18 00:00:00 2020,21,6135,18,2712,1,1240,2,2060
Wed Aug 19 00:00:00 2020,30,6273,26,4023,2,1006,2,1159
Thu Aug 20 00:00:00 2020,56,10709,50,5579,2,1809,2,3134
Fri Aug 21 00:00:00 2020,57,10843,49,5936,4,2051,3,2683
Sat Aug 22 00:00:00 2020,44,3303,44,2791,0,331,0,153
Sun Aug 23 00:00:00 2020,53,4464,53,3870,0,425,0,145
Mon Aug 24 00:00:00 2020,83,17592,76,6965,4,4802,3,5546
Tue Aug 25 00:00:00 2020,89,14838,88,11605,1,1386,0,1688
Wed Aug 26 00:00:00 2020,54,6345,52,4348,0,968,1,926
Thu Aug 27 00:00:00 2020,47,14536,39,4893,3,4295,5,5112
Fri Aug 28 00:00:00 2020,63,13227,61,10190,0,1283,2,1598
Sat Aug 29 00:00:00 2020,49,2711,45,1905,2,419,0,340
Sun Aug 30 00:00:00 2020,104,3465,101,2637,1,466,1,328
Mon Aug 31 00:00:00 2020,231,17030,224,7187,2,4287,3,5293
Tue Sep  1 00:00:00 2020,197,13951,193,10542,1,1396,1,1844
Wed Sep  2 00:00:00 2020,120,6411,118,4415,2,942,0,950
Thu Sep  3 00:00:00 2020,87,14245,79,5823,4,3677,2,4519
Fri Sep  4 00:00:00 2020,102,13551,95,9600,1,1603,6,2168
Sat Sep  5 00:00:00 2020,33,2409,30,1585,2,408,1,367
Sun Sep  6 00:00:00 2020,34,2964,33,1711,1,578,0,629
Mon Sep  7 00:00:00 2020,60,6233,56,3175,1,1482,3,1495
Tue Sep  8 00:00:00 2020,76,10818,70,9544,1,496,3,653
Wed Sep  9 00:00:00 2020,44,11950,40,5405,1,2455,3,3821
Thu Sep 10 00:00:00 2020,34,6611,30,4267,1,941,2,1297
Fri Sep 11 00:00:00 2020,35,11211,33,9088,1,847,1,1132
Sat Sep 12 00:00:00 2020,9,4003,9,2096,0,825,0,999
Sun Sep 13 00:00:00 2020,17,4710,13,2513,2,1162,1,952
Mon Sep 14 00:00:00 2020,40,10171,32,6982,1,1489,5,1531
Tue Sep 15 00:00:00 2020,47,11222,43,9008,1,892,1,1156
Wed Sep 16 00:00:00 2020,23,9937,22,4418,0,1852,1,3485
Thu Sep 17 00:00:00 2020,17,7786,16,5375,0,918,1,1342
Fri Sep 18 00:00:00 2020,27,10354,23,8287,0,835,4,1099
Sat Sep 19 00:00:00 2020,12,3784,9,2061,2,784,1,853
Sun Sep 20 00:00:00 2020,11,4552,9,2515,0,1044,2,920
Mon Sep 21 00:00:00 2020,42,10369,39,7059,1,1556,2,1607
Tue Sep 22 00:00:00 2020,62,11095,57,8902,1,843,3,1184
Wed Sep 23 00:00:00 2020,29,9648,25,4255,1,1779,3,3392
Thu Sep 24 00:00:00 2020,27,9106,27,6283,0,1282,0,1397
Fri Sep 25 00:00:00 2020,41,10870,40,8606,0,1060,1,1046
Sat Sep 26 00:00:00 2020,17,3887,17,2141,0,775,0,899
Sun Sep 27 00:00:00 2020,28,4588,26,2515,0,1106,2,890
Mon Sep 28 00:00:00 2020,36,10723,35,7451,0,1534,0,1577
Tue Sep 29 00:00:00 2020,37,10618,34,8443,1,885,1,1146
Wed Sep 30 00:00:00 2020,32,10341,31,4925,0,1848,1,3371
Thu Oct  1 00:00:00 2020,27,7587,26,5199,1,916,0,1336
Fri Oct  2 00:00:00 2020,18,10741,16,8302,0,981,1,1297
Sat Oct  3 00:00:00 2020,9,3848,6,2045,0,780,3,943
Sun Oct  4 00:00:00 2020,7,4372,6,2275,1,1033,0,969
Mon Oct  5 00:00:00 2020,48,11116,39,7765,4,1565,5,1613
Tue Oct  6 00:00:00 2020,25,10314,21,7955,1,947,3,1258
Wed Oct  7 00:00:00 2020,21,9753,14,4343,1,1821,6,3374
Thu Oct  8 00:00:00 2020,14,7947,12,5426,0,983,2,1389
Fri Oct  9 00:00:00 2020,10,9682,8,7325,0,925,1,1260
Sat Oct 10 00:00:00 2020,11,3376,8,1791,1,689,2,817
Sun Oct 11 00:00:00 2020,8,4539,4,2402,1,1069,2,981
Mon Oct 12 00:00:00 2020,23,9572,19,6618,2,1307,2,1489
Tue Oct 13 00:00:00 2020,14,10083,12,7809,1,956,1,1168
Wed Oct 14 00:00:00 2020,11,9090,4,4038,1,1645,6,3219
Thu Oct 15 00:00:00 2020,9,8000,5,5399,1,992,2,1457
Fri Oct 16 00:00:00 2020,9,9655,7,7365,1,936,0,1223
Sat Oct 17 00:00:00 2020,2,3423,2,1777,0,675,0,890
Sun Oct 18 00:00:00 2020,6,4553,4,2450,2,1018,0,999
Mon Oct 19 00:00:00 2020,18,10604,13,7374,0,1464,3,1550
Tue Oct 20 00:00:00 2020,18,9933,11,7687,2,896,5,1206
Wed Oct 21 00:00:00 2020,20,9491,9,4337,1,1697,10,3250
Thu Oct 22 00:00:00 2020,23,8354,15,5676,1,1011,7,1464
Fri Oct 23 00:00:00 2020,23,9205,,,,,,
Sat Oct 24 00:00:00 2020,15,3825,10,2143,0,721,4,880
Sun Oct 25 00:00:00 2020,24,4680,17,2595,5,990,1,1000
Mon Oct 26 00:00:00 2020,73,11181,54,7666,1,1503,15,1780
Tue Oct 27 00:00:00 2020,41,10269,28,7797,2,1013,11,1280
Wed Oct 28 00:00:00 2020,37,9569,20,4505,3,1660,14,3187
Thu Oct 29 00:00:00 2020,25,8859,18,6063,1,1071,6,1509
Fri Oct 30 00:00:00 2020,37,10578,28,7866,5,1082,4,1448
Sat Oct 31 00:00:00 2020,9,3545,4,1919,3,679,2,868
Sun Nov  1 00:00:00 2020,14,4906,8,2814,3,933,1,1064
Mon Nov  2 00:00:00 2020,73,11897,57,8080,4,1620,10,1933
Tue Nov  3 00:00:00 2020,39,5744,33,4760,2,431,4,464
Wed Nov  4 00:00:00 2020,74,11670,42,6202,7,1830,24,3398
Thu Nov  5 00:00:00 2020,61,8887,36,5818,8,1113,16,1760
Fri Nov  6 00:00:00 2020,46,10197,28,7434,5,1024,12,1552
Sat Nov  7 00:00:00 2020,22,4148,15,2391,3,762,2,909
Sun Nov  8 00:00:00 2020,24,5181,7,3048,10,981,7,1059
Mon Nov  9 00:00:00 2020,73,11939,51,8100,4,1571,14,2021
Tue Nov 10 00:00:00 2020,57,10335,47,7183,4,1190,5,1776
Wed Nov 11 00:00:00 2020,52,11065,34,5149,3,2273,12,3393
Thu Nov 12 00:00:00 2020,36,9671,24,6004,4,1398,5,1997
Fri Nov 13 00:00:00 2020,34,11166,23,7571,0,1276,11,2094
Sat Nov 14 00:00:00 2020,16,4576,11,2222,0,936,5,1266
Sun Nov 15 00:00:00 2020,22,6471,11,3331,2,1454,7,1540
Mon Nov 16 00:00:00 2020,52,13538,33,8243,4,2162,10,2872
Tue Nov 17 00:00:00 2020,42,10235,30,6725,3,1269,8,1994
Wed Nov 18 00:00:00 2020,34,10386,21,5118,2,2170,10,2803
Thu Nov 19 00:00:00 2020,26,10395,13,6129,3,1562,8,2474
Fri Nov 20 00:00:00 2020,34,11172,24,7140,0,1468,8,2289
Sat Nov 21 00:00:00 2020,13,3486,11,1486,0,746,1,1099
Sun Nov 22 00:00:00 2020,19,3353,13,1052,2,814,3,1325
Mon Nov 23 00:00:00 2020,26,5794,15,1591,4,1290,6,2687
Tue Nov 24 00:00:00 2020,13,4407,6,1169,2,994,5,2017
Wed Nov 25 00:00:00 2020,14,5582,4,892,2,1440,7,2921
Fri Nov 27 00:00:00 2020,0,187,0,123,0,19,0,44
Sat Nov 28 00:00:00 2020,33,3526,19,934,1,919,12,1487
Sun Nov 29 00:00:00 2020,21,4102,12,1373,4,1087,4,1501
Mon Nov 30 00:00:00 2020,71,9544,47,4131,9,1897,12,3219
Tue Dec  1 00:00:00 2020,27,5769,17,2897,2,1060,7,1622
Wed Dec  2 00:00:00 2020,32,7564,22,3163,3,1645,5,2510
Thu Dec  3 00:00:00 2020,23,6681,15,2923,3,1241,5,2362
Fri Dec  4 00:00:00 2020,25,6939,12,3482,5,1234,8,1970
Sat Dec  5 00:00:00 2020,19,3064,14,1207,1,693,4,1045
Sun Dec  6 00:00:00 2020,23,4328,11,1922,4,929,6,1329
Mon Dec  7 00:00:00 2020,35,8506,20,3828,1,1586,13,2831
Tue Dec  8 00:00:00 2020,27,5891,21,2776,2,1044,3,1866
Wed Dec  9 00:00:00 2020,22,7109,12,3154,0,1467,6,2289
Thu Dec 10 00:00:00 2020,10,6235,6,2628,2,1178,2,2251
Fri Dec 11 00:00:00 2020,10,6297,7,2903,0,1103,0,2045
